scope,population,grouping,group_value,n,target_hour_count,target_start,target_end,bias_kwh,mae_kwh,rmse_kwh
all_comparable,actual_pv_positive,issue_hour,12,5925,5925,2025-01-01T13:00:00,2025-12-31T19:00:00,-43.96267443037974,307.9968990042194,605.6693912013757
all_comparable,actual_pv_positive,issue_hour,18,5919,5919,2025-01-01T19:00:00,2025-12-31T19:00:00,-80.86633506504478,390.37018502280785,617.5950672141635
all_comparable,actual_pv_positive,lead_block,1,5932,5932,2025-01-01T06:00:00,2025-12-31T19:00:00,-4.206374204877501,146.01192038379412,210.46936126326628
all_comparable,actual_pv_positive,lead_block,2,5931,5931,2025-01-01T07:00:00,2025-12-31T19:00:00,-24.023319600404665,234.37163375765755,361.96308375886065
all_comparable,actual_pv_positive,lead_block,3,5925,5925,2025-01-01T13:00:00,2025-12-31T19:00:00,-57.92418329957807,334.85471594655417,528.1106872961453
all_comparable,actual_pv_positive,lead_block,4,5919,5919,2025-01-01T19:00:00,2025-12-31T19:00:00,-91.43514037844231,455.5183729627753,754.1468379398966
all_comparable,actual_pv_positive,horizon_h,1,1095,1095,2025-01-01T07:00:00,2025-12-31T19:00:00,6.352366605783883,136.2374779908676,189.87232724692188
all_comparable,actual_pv_positive,horizon_h,2,1005,1005,2025-01-01T08:00:00,2025-12-31T14:00:00,-34.9439737313433,104.48158013266999,147.59277147067712
all_comparable,actual_pv_positive,horizon_h,3,870,870,2025-01-01T09:00:00,2025-12-31T15:00:00,-33.98074996168582,143.97742877394634,190.2318407769307
all_comparable,actual_pv_positive,horizon_h,4,867,867,2025-01-01T10:00:00,2025-12-31T16:00:00,-16.682544367550953,161.39908592848906,220.81760562670584
all_comparable,actual_pv_positive,horizon_h,5,1003,1003,2025-01-01T11:00:00,2025-12-31T17:00:00,11.494888135593218,160.07333805250917,230.0489799008993
all_comparable,actual_pv_positive,horizon_h,6,1092,1092,2025-01-01T06:00:00,2025-12-31T18:00:00,32.699895619658115,170.52358670634922,261.3060337678237
all_comparable,actual_pv_positive,horizon_h,7,1095,1095,2025-01-01T07:00:00,2025-12-31T19:00:00,-0.43672517503805197,183.58372100456623,286.3827894213282
all_comparable,actual_pv_positive,horizon_h,8,1005,1005,2025-01-01T08:00:00,2025-12-31T14:00:00,-52.91290308457713,197.23055565505805,305.45132437038603
all_comparable,actual_pv_positive,horizon_h,9,870,870,2025-01-01T09:00:00,2025-12-31T15:00:00,-57.28676208812262,265.3069043103448,362.9187160220572
all_comparable,actual_pv_positive,horizon_h,10,867,867,2025-01-01T10:00:00,2025-12-31T16:00:00,-44.557915301807,283.70844717416384,395.69502175864636
all_comparable,actual_pv_positive,horizon_h,11,1003,1003,2025-01-01T11:00:00,2025-12-31T17:00:00,-14.099486091724843,245.9166945663011,395.15846838877434
all_comparable,actual_pv_positive,horizon_h,12,1091,1091,2025-01-01T12:00:00,2025-12-31T18:00:00,12.63643744271311,245.06929586006723,413.4908788493648
all_comparable,actual_pv_positive,horizon_h,13,1094,1094,2025-01-01T13:00:00,2025-12-31T19:00:00,-20.902944134673962,261.49463602985986,444.0404246760828
all_comparable,actual_pv_positive,horizon_h,14,1004,1004,2025-01-01T14:00:00,2025-12-31T14:00:00,-76.32459782536522,292.59034626494025,466.3751993867729
all_comparable,actual_pv_positive,horizon_h,15,869,869,2025-01-01T15:00:00,2025-12-31T15:00:00,-89.85251994629843,386.48604123513616,532.9855378448198
all_comparable,actual_pv_positive,horizon_h,16,866,866,2025-01-01T16:00:00,2025-12-31T16:00:00,-88.41670234795995,412.98670916089304,577.0697775712106
all_comparable,actual_pv_positive,horizon_h,17,1002,1002,2025-01-01T17:00:00,2025-12-31T17:00:00,-61.70307877578178,350.8403989354624,566.8968098886628
all_comparable,actual_pv_positive,horizon_h,18,1090,1090,2025-01-01T18:00:00,2025-12-31T18:00:00,-24.97787151376148,329.4801952446483,575.6089564909116
all_comparable,actual_pv_positive,horizon_h,19,1093,1093,2025-01-01T19:00:00,2025-12-31T19:00:00,-49.545361192436715,345.95130706007933,607.5157215912938
all_comparable,actual_pv_positive,horizon_h,20,1003,1003,2025-01-02T08:00:00,2025-12-31T14:00:00,-113.09530267530742,404.5273570455301,653.8857671795079
all_comparable,actual_pv_positive,horizon_h,21,868,868,2025-01-02T09:00:00,2025-12-31T15:00:00,-136.86045464669738,516.6649375576036,734.1979420220873
all_comparable,actual_pv_positive,horizon_h,22,865,865,2025-01-02T10:00:00,2025-12-31T16:00:00,-112.65753680154144,530.469490327553,758.3920041278108
all_comparable,actual_pv_positive,horizon_h,23,1001,1001,2025-01-02T11:00:00,2025-12-31T17:00:00,-72.69595371295371,472.3860221445221,793.7536164400608
all_comparable,actual_pv_positive,horizon_h,24,1089,1089,2025-01-02T06:00:00,2025-12-31T18:00:00,-77.69020560146924,488.67571049892877,928.0987471618054
same_target_four_versions,all_hours,overall,all,34968,8742,2025-01-01T19:00:00,2026-01-01T00:00:00,-30.153893794326244,198.20382875104858,416.1846391729736
same_target_four_versions,all_hours,issue_hour,0,8742,8742,2025-01-01T19:00:00,2026-01-01T00:00:00,-27.25802817433082,193.01097608480134,365.321810722271
same_target_four_versions,all_hours,issue_hour,6,8742,8742,2025-01-01T19:00:00,2026-01-01T00:00:00,-8.756721905742399,126.81084108136966,229.14578006438234
same_target_four_versions,all_hours,issue_hour,12,8742,8742,2025-01-01T19:00:00,2026-01-01T00:00:00,-29.848155542210023,208.68314263898424,498.6160052333129
same_target_four_versions,all_hours,issue_hour,18,8742,8742,2025-01-01T19:00:00,2026-01-01T00:00:00,-54.75266955502175,264.31035519903907,508.18587244099274
same_target_four_versions,all_hours,lead_block,1,8742,8742,2025-01-01T19:00:00,2026-01-01T00:00:00,-2.783655078929307,98.89017264165334,173.24962267945406
same_target_four_versions,all_hours,lead_block,2,8742,8742,2025-01-01T19:00:00,2026-01-01T00:00:00,-16.439057017844895,158.77798902806379,298.0208298869938
same_target_four_versions,all_hours,lead_block,3,8742,8742,2025-01-01T19:00:00,2026-01-01T00:00:00,-39.48430715511326,226.72651165446504,434.6586986015155
same_target_four_versions,all_hours,lead_block,4,8742,8742,2025-01-01T19:00:00,2026-01-01T00:00:00,-61.90855592541752,308.42064168001224,620.5470042302068
same_target_four_versions,actual_pv_positive,overall,all,23676,5919,2025-01-01T19:00:00,2025-12-31T19:00:00,-44.535451858422036,292.7348996353551,505.7865520127778
same_target_four_versions,actual_pv_positive,issue_hour,0,5919,5919,2025-01-01T19:00:00,2025-12-31T19:00:00,-40.25843593512418,285.0653747141972,443.9732792336105
same_target_four_versions,actual_pv_positive,issue_hour,6,5919,5919,2025-01-01T19:00:00,2025-12-31T19:00:00,-12.933141223179602,187.2918352311765,278.4794129772595
same_target_four_versions,actual_pv_positive,issue_hour,12,5919,5919,2025-01-01T19:00:00,2025-12-31T19:00:00,-44.08389521033958,308.2122035732387,605.9648683009815
same_target_four_versions,actual_pv_positive,issue_hour,18,5919,5919,2025-01-01T19:00:00,2025-12-31T19:00:00,-80.86633506504478,390.37018502280785,617.5950672141635
same_target_four_versions,actual_pv_positive,lead_block,1,5919,5919,2025-01-01T19:00:00,2025-12-31T19:00:00,-4.111287835783073,146.05472026243174,210.54916747212377
same_target_four_versions,actual_pv_positive,lead_block,2,5919,5919,2025-01-01T19:00:00,2025-12-31T19:00:00,-24.27947904206793,234.50535226952755,362.1828241332115
same_target_four_versions,actual_pv_positive,lead_block,3,5919,5919,2025-01-01T19:00:00,2025-12-31T19:00:00,-58.31590017739484,334.8611530466858,528.2379592502223
same_target_four_versions,actual_pv_positive,lead_block,4,5919,5919,2025-01-01T19:00:00,2025-12-31T19:00:00,-91.43514037844231,455.5183729627753,754.1468379398966
