month,coverage,quantile_loss_kwh,point_pinball_same_tau_kwh,point_net_mae_kwh,risk_net_absolute_error_kwh,net_underforecast_kwh,policy,grouping,tau,n_intervals,hour
2025-03,0.5526433691756273,20.852717619474312,20.852717619474312,45.84965394638591,45.84965394638591,19.471311383661888,B1,month,0.8,4464,
2025-04,0.5210648148148148,24.23309848765432,24.23309848765432,50.025234799382716,50.025234799382716,23.713419212962965,B1,month,0.8,4320,
2025-05,0.4760304659498208,29.695069890979685,29.695069890979685,56.47404030391278,56.47404030391278,30.667103050328553,B1,month,0.8,4464,
2025-06,0.4564814814814815,36.0016287507716,36.0016287507716,64.57676062885803,64.57676062885803,38.477127708333335,B1,month,0.8,4320,
2025-07,0.44198028673835127,39.15284288007766,39.15284288007766,67.99549613201911,67.99549613201911,42.58957275612306,B1,month,0.8,4464,
2025-08,0.5474910394265233,25.522454693100357,25.522454693100357,55.35983016353047,55.35983016353047,24.084147767323778,B1,month,0.8,4464,
2025-09,0.5766203703703704,26.032536179012343,26.032536179012343,63.5357590779321,63.5357590779321,22.20897393904321,B1,month,0.8,4320,
2025-10,0.5170250896057348,20.000449084528075,20.000449084528075,42.05897042264038,42.05897042264038,19.314424999999996,B1,month,0.8,4464,
2025-11,0.48518518518518516,17.346366153549383,17.346366153549383,33.04399757330247,33.04399757330247,17.89594439814815,B1,month,0.8,4320,
2025-12,0.4460125448028674,22.22208880376344,22.22208880376344,38.44308219086021,38.44308219086021,24.22245394265233,B1,month,0.8,4464,
,0.5084830339321357,14.954919268130405,14.954919268130405,30.069652054224882,30.069652054224882,14.901648095475716,B1,hour,0.8,2004,0.0
,0.5179640718562875,14.94501741516966,14.94501741516966,30.05586007984032,30.05586007984032,14.889742332002662,B1,hour,0.8,2004,1.0
,0.5204590818363274,14.322694166666667,14.322694166666667,28.816279690618764,28.816279690618764,14.265730380904857,B1,hour,0.8,2004,2.0
,0.5134730538922155,13.795094324683966,13.795094324683966,27.73168911343979,27.73168911343979,13.74792750332668,B1,hour,0.8,2004,3.0
,0.5199600798403193,13.781049486027944,13.781049486027944,27.734652120758483,27.734652120758483,13.723531769793746,B1,hour,0.8,2004,4.0
,0.5209580838323353,13.775860337658017,13.775860337658017,27.910668404856953,27.910668404856953,13.65621109447771,B1,hour,0.8,2004,5.0
,0.5154690618762475,16.172489514304722,16.172489514304722,32.569439362940784,32.569439362940784,16.09766940286094,B1,hour,0.8,2004,6.0
,0.5074850299401198,23.62384405023287,23.62384405023287,47.349948245176314,47.349948245176314,23.589757335329338,B1,hour,0.8,2004,7.0
,0.499001996007984,31.77786561377246,31.77786561377246,63.72888295908184,63.72888295908184,31.720148369926815,B1,hour,0.8,2004,8.0
,0.4930139720558882,41.492574188290085,41.492574188290085,83.16547191450432,83.16547191450432,41.432466342315365,B1,hour,0.8,2004,9.0
,0.5059880239520959,49.03342088988689,49.03342088988689,98.14475841650034,98.14475841650034,49.00744867764471,B1,hour,0.8,2004,10.0
,0.5069860279441117,53.48981198270126,53.48981198270126,107.11731752328676,107.11731752328676,53.44391413007319,B1,hour,0.8,2004,11.0
,0.5134730538922155,53.539228230206255,53.539228230206255,107.10916076180972,107.10916076180972,53.52899346307385,B1,hour,0.8,2004,12.0
,0.5054890219560878,45.44911799733866,45.44911799733866,90.95226376413838,90.95226376413838,45.43110874085163,B1,hour,0.8,2004,13.0
,0.5039920159680639,38.39245271789754,38.39245271789754,76.72218549567532,76.72218549567532,38.413359364604126,B1,hour,0.8,2004,14.0
,0.4935129740518962,30.91940019627412,30.91940019627412,61.88141450432468,61.88141450432468,30.905195492348636,B1,hour,0.8,2004,15.0
,0.5014970059880239,23.385714735528943,23.385714735528943,46.68900711077844,46.68900711077844,23.413188855622092,B1,hour,0.8,2004,16.0
,0.5229540918163673,17.70945321523619,17.70945321523619,35.532439130073186,35.532439130073186,17.671608982035924,B1,hour,0.8,2004,17.0
,0.5004990019960079,16.083367223885563,16.083367223885563,32.17005847471723,32.17005847471723,16.082259214903527,B1,hour,0.8,2004,18.0
,0.5129740518962076,15.567866442115768,15.567866442115768,31.22712607285429,31.22712607285429,15.537402045908182,B1,hour,0.8,2004,19.0
,0.5044910179640718,16.099286300731873,16.099286300731873,32.28799794577512,32.28799794577512,16.06947785262808,B1,hour,0.8,2004,20.0
,0.5109780439121756,16.146419525948104,16.146419525948104,32.462107584830335,32.462107584830335,16.089996681636727,B1,hour,0.8,2004,21.0
,0.5104790419161677,16.223982816034596,16.223982816034596,32.55030744344644,32.55030744344644,16.189868878908847,B1,hour,0.8,2004,22.0
,0.5179640718562875,15.55123126580173,15.55123126580173,31.33792137391883,31.33792137391883,15.472744985029939,B1,hour,0.8,2004,23.0
2025-02,0.7946428571428571,11.931842482140514,18.718447036353602,42.83694675798387,45.70598761627024,4.651074931477447,P,month,0.8,4032,
2025-03,0.7768817204301075,14.854634279790208,22.766335199372964,46.719980960663676,52.03648141211555,7.412229995611833,P,month,0.8,4464,
2025-04,0.7912037037037037,15.268721408938339,23.94726417025885,48.02266833339116,54.91367585397432,7.143310396905796,P,month,0.8,4320,
2025-05,0.7708333333333334,17.52447611650371,27.264773091298935,50.31357187867978,62.1718631663363,8.483505805394085,P,month,0.8,4464,
2025-06,0.7865740740740741,25.56900964750941,35.22870750557983,61.98676763423336,89.1571288714175,12.89597312204319,P,month,0.8,4320,
2025-07,0.7849462365591398,22.550793358678558,29.79658686546522,57.7959604931288,80.63053910373972,10.707809229884363,P,month,0.8,4464,
2025-08,0.7538082437275986,18.65163292646552,27.94300129181352,56.78082337537045,64.92082132424311,9.445781102694832,P,month,0.8,4464,
2025-09,0.749537037037037,18.545862381564966,34.380561969992115,62.22925875564083,66.88107001548501,8.616080630779946,P,month,0.8,4320,
2025-10,0.8393817204301075,14.059429044261378,27.651599739589983,47.7350336202602,57.997566701591516,4.099859506571796,P,month,0.8,4464,
2025-11,0.830324074074074,11.107438514413962,23.72471816278397,38.47704944554096,44.96226979178642,3.5249742600944676,P,month,0.8,4320,
2025-12,0.821236559139785,15.282019262949346,23.579930947510157,42.17464656728942,59.35362207530504,5.685491413147234,P,month,0.8,4464,
,0.7939121756487026,11.39176970545966,15.602429012065306,29.86873335402126,41.367697597127,5.197050310057104,P,hour,0.8,2004,0.0
,0.7959081836327345,11.189718506514483,15.907021534124208,30.180772638354192,41.07396814352091,4.958208129683834,P,hour,0.8,2004,1.0
