comparison_id,comparison_label,date,total_cost_yuan_raw,contract_cost_yuan_raw,emergency_cost_yuan_raw,emergency_kwh_raw,energy_start_actual_kwh_raw,energy_end_actual_kwh_raw,total_cost_yuan_corrected,contract_cost_yuan_corrected,emergency_cost_yuan_corrected,emergency_kwh_corrected,energy_start_actual_kwh_corrected,energy_end_actual_kwh_corrected,raw_policy,corrected_policy,cash_gain_yuan,contract_cost_gain_yuan,emergency_cost_gain_yuan,emergency_energy_reduction_kwh,inventory_adjusted_daily_gain_yuan,cumulative_cash_gain_yuan,cumulative_inventory_adjusted_gain_yuan,day_result,month,is_main_evaluation
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-01,21827.404879623,21827.404879623,0.0,0.0,7268.4231640740745,7551.587595787255,21827.404879623,21827.404879623,0.0,0.0,7268.4231640740745,7551.587595787255,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-02,54922.38773159028,54922.38773159028,0.0,0.0,7551.587595787255,8050.3432984487345,54922.38773159028,54922.38773159028,0.0,0.0,7551.587595787255,8050.3432984487345,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-03,56019.60388755246,56019.60388755246,0.0,0.0,8050.3432984487345,8275.897254430389,56019.60388755246,56019.60388755246,0.0,0.0,8050.3432984487345,8275.897254430389,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-04,58542.43806181019,58542.43806181019,0.0,0.0,8275.897254430389,8729.54892264252,58542.43806181019,58542.43806181019,0.0,0.0,8275.897254430389,8729.54892264252,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-05,56694.71701476086,56317.10151388635,377.61550087451536,54.130662396002776,8729.54892264252,8894.61117755754,56694.71701476086,56317.10151388635,377.61550087451536,54.130662396002776,8729.54892264252,8894.61117755754,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-06,57832.203209993415,57832.203209993415,0.0,0.0,8894.61117755754,9418.659637273426,57832.203209993415,57832.203209993415,0.0,0.0,8894.61117755754,9418.659637273426,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-07,22109.8999008286,21447.86091027801,662.0389905505913,137.1118969124321,9418.659637273426,9326.20618763034,22109.8999008286,21447.86091027801,662.0389905505913,137.1118969124321,9418.659637273426,9326.20618763034,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-08,21289.144057416812,19625.48476078854,1663.6592966282753,248.81567698740525,9326.20618763034,9388.922039634685,21289.144057416812,19625.48476078854,1663.6592966282753,248.81567698740525,9326.20618763034,9388.922039634685,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-09,54497.92822514196,54185.98576430166,311.94246084029885,65.9302072478608,9388.922039634685,9382.807118518229,54497.92822514196,54185.98576430166,311.94246084029885,65.9302072478608,9388.922039634685,9382.807118518229,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-10,51054.23861875163,50778.130521198946,276.1080975526803,62.43497209610696,9382.807118518229,9208.069172152296,51054.23861875163,50778.130521198946,276.1080975526803,62.43497209610696,9382.807118518229,9208.069172152296,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-11,55410.01270571988,51476.92697125157,3933.0857344683095,716.1192501180192,9208.069172152296,9172.169390621018,55410.01270571988,51476.92697125157,3933.0857344683095,716.1192501180192,9208.069172152296,9172.169390621018,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-12,54057.50896594522,52673.42800489869,1384.0809610465315,254.14583246726954,9172.169390621018,9134.638032828612,54057.50896594522,52673.42800489869,1384.0809610465315,254.14583246726954,9172.169390621018,9134.638032828612,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-13,49524.72064750661,48042.20624709539,1482.5144004112221,252.10353140355687,9134.638032828612,9149.650013644641,49524.72064750661,48042.20624709539,1482.5144004112221,252.10353140355687,9134.638032828612,9149.650013644641,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-14,20397.858211744075,18880.61952666576,1517.2386850783134,267.7327803559497,9149.650013644641,8914.209716511883,20397.858211744075,18880.61952666576,1517.2386850783134,267.7327803559497,9149.650013644641,8914.209716511883,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-15,20995.634656492388,19145.599332352584,1850.0353241398043,365.21029299377335,8914.209716511883,8625.313955996358,20995.634656492388,19145.599332352584,1850.0353241398043,365.21029299377335,8914.209716511883,8625.313955996358,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02-16,57071.377984032355,53592.614340862136,3478.76364317022,722.1810868982303,8625.313955996358,8647.583075166473,57071.377984032355,53592.614340862136,3478.76364317022,722.1810868982303,8625.313955996358,8647.583075166473,fixed_raw,fixed_w14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,2025-02,False
