policy,grid_plan_kwh,emergency_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,days,intervals,initial_energy_kwh,final_energy_kwh,inventory_value_yuan_per_kwh,inventory_adjusted_cost_yuan,emergency_share_of_load,emergency_intervals,emergency_days,solver_runtime_seconds,solver_max_runtime_seconds,solver_max_mip_gap,solver_failures,solver_fallbacks,wall_seconds,unused_grid_cost_yuan,emergency_share_load,passes_emergency_cap,passes_stricter_P_emergency_cap,passes_joint,passes_stricter_joint,solver_count,total_saving_vs_B0_yuan,ordinary_saving_vs_B0_yuan,emergency_saving_vs_B0_yuan,inventory_adjusted_saving_vs_B0_yuan,total_saving_vs_B1_yuan,ordinary_saving_vs_B1_yuan,emergency_saving_vs_B1_yuan,inventory_adjusted_saving_vs_B1_yuan,total_saving_vs_P_yuan,ordinary_saving_vs_P_yuan,emergency_saving_vs_P_yuan,inventory_adjusted_saving_vs_P_yuan,total_saving_vs_P_terminal_yuan,ordinary_saving_vs_P_terminal_yuan,emergency_saving_vs_P_terminal_yuan,inventory_adjusted_saving_vs_P_terminal_yuan,total_saving_vs_P_floor_yuan,ordinary_saving_vs_P_floor_yuan,emergency_saving_vs_P_floor_yuan,inventory_adjusted_saving_vs_P_floor_yuan,total_saving_vs_S_terminal_yuan,ordinary_saving_vs_S_terminal_yuan,emergency_saving_vs_S_terminal_yuan,inventory_adjusted_saving_vs_S_terminal_yuan,meets_user_emergency_cap,passes_user_requirement,study_stage
T_strong,21370799.51081737,115729.0666095007,13314235.736319005,683156.5779784736,13997392.314297479,6163151.179883992,4996496.479570923,2380684.3821471347,1017169.5922887919,1363514.7898583428,334,48096,7268.4231640740745,2441.7299808642265,,14000720.693316024,,616,93,8.653561498926138,0.05570241699751932,5.177744195645199e-16,0,0,21.6147157910018,598812.7811979393,0.0031271297567094054,False,False,False,False,334.0,2336291.07855317,-1326404.1689376384,3662695.2474908098,2336096.693433,1380815.0364957303,-1050578.1598125529,2431393.1963082836,1378061.9357602429,212117.53105605394,253428.82964087278,-41311.29858482233,206353.85611193255,38236.47915218398,80899.6844124198,-42663.20526023721,35418.089585067704,25446.28420106694,47329.209364160895,-21882.92516309279,25765.68209847063,24285.498061062768,47397.624763140455,-23112.126702077687,24604.895958466455,True,True,original_ten
T_morning_hedge,21521935.093165774,113468.8315380075,13333405.7556439,664009.982713695,13997415.738357596,6187203.66399754,5016201.868358053,2525212.6340976283,1123409.4992179116,1401803.134879717,334,48096,7268.4231640740745,2194.089252911632,,14000914.88485022,,717,100,8.72269187195343,0.06526312501227949,3.620383234777776e-16,0,0,21.913281958011794,659416.1461463358,0.0030660556587641242,False,False,False,False,334.0,2336267.6544930525,-1345574.1882625334,3681841.8427555882,2335902.501898803,1380791.6124356128,-1069748.1791374478,2450539.791573062,1377867.744226046,212094.10699593648,234258.81031597778,-22164.703320043744,206159.6645777356,38213.05509206653,61729.6650875248,-23516.609995458624,35223.89805087075,25422.860140949488,28159.1900392659,-2736.3298983142013,25571.49056427367,24262.074000945315,28227.60543824546,-3965.531437299098,24410.704424269497,True,True,original_ten
R_guard,21704874.095341533,116089.3529995809,13360034.358909972,661273.6528153808,14021308.011725353,6260920.353591523,5076106.371479128,2696959.97126205,1285058.9300736347,1411901.0411884151,334,48096,7268.4231640740745,1978.550864081664,,14024955.788641302,,898,116,56.088500955331256,0.06394391700450797,4.182235147216388e-15,0,0,93.77725870799622,766042.7230752208,0.003136865100857292,True,False,True,False,2338.0,2312375.3811252955,-1372202.791528605,3684578.1726539023,2311861.5981077217,1356899.3390678558,-1096376.7824035194,2453276.121471376,1353826.8404349647,188201.8336281795,207630.20704990625,-19428.373421729542,182118.76078665443,14320.781724309549,35101.06182145327,-20780.280097144423,11182.994259789586,1530.58677319251,1530.5867731943727,0.0,1530.58677319251,369.8006331883371,1599.0021721739322,-1229.2015389848966,369.8006331883371,True,True,original_ten
R_mean,21669422.23194907,119084.05835483207,13348412.30786074,682859.1350127372,14031271.442873478,6253756.492644373,5070303.644111935,2665863.946804795,1256454.5355580477,1409409.4112467472,334,48096,7268.4231640740745,1978.550864081664,,14034919.219789427,,882,116,58.3610590473254,0.06516204199579079,5.132762116592867e-16,0,0,97.39235024999653,747451.1982668366,0.003217785413302067,False,False,False,False,2338.0,2302411.9499771707,-1360580.7404793724,3662992.690456546,2301898.166959597,1346935.907919731,-1084754.731354287,2431690.6392740197,1343863.40928684,178238.40248005465,219252.25809913874,-41013.85561908595,172155.32963852957,4357.35057618469,46723.112870685756,-42365.76229450083,1219.5631116647273,-8432.844374932349,13152.637822426856,-21585.48219735641,-8432.844374932349,-9593.630514936522,13221.053221406415,-22814.683736341307,-9593.630514936522,True,False,original_ten
R_cost,21525629.844104134,125195.09887972906,13301668.680135138,732193.7599136741,14033862.440048814,6225508.9847538555,5047423.162720617,2533549.6259839563,1145120.0696784442,1388429.556305512,334,48096,7268.4231640740745,1978.550864081664,,14037510.216964763,,805,109,57.027216287271585,0.07000962499296293,5.460811445387963e-16,0,0,94.82873937500699,677612.5492980133,0.0033829126128010873,False,False,False,False,2338.0,2299820.952801835,-1313837.1127537712,3613658.0655556093,2299307.169784261,1344344.910744395,-1038011.1036286857,2382356.014373083,1341272.412111504,175647.40530471876,265995.88582473993,-90348.4805200228,169564.33246319368,1766.353400848806,93466.74059628695,-91700.38719543768,-1371.4340636711568,-11023.841550268233,59896.26554802805,-70920.10709829326,-11023.841550268233,-12184.627690272406,59964.68094700761,-72149.30863727815,-12184.627690272406,True,False,original_ten
R_w28,21699608.947847147,117357.09076347995,13358039.58583963,667245.9401079854,14025285.525947614,6259212.514587852,5074723.021886153,2693287.0509422626,1282237.8568283976,1411049.194113865,334,48096,7268.4231640740745,1978.550864081664,,14028933.302863562,,909,116,57.632538376245066,0.0641580000083195,4.182235147216388e-15,0,0,96.17666520799685,764008.1098224681,0.0031711208034334634,False,False,False,False,2338.0,2308397.866903035,-1370208.018458262,3678605.885361298,2307884.083885461,1352921.8248455953,-1094382.0093331765,2447303.834178772,1349849.3262127042,184224.31940591894,209624.9801202491,-25400.66071433411,178141.24656439386,10343.267502048984,37095.83489179611,-26752.56738974899,7205.4800375290215,-2446.9274490680546,3525.3598435372114,-5972.2872926045675,-2446.9274490680546,-3607.7135890722275,3593.775242516771,-7201.488831589464,-3607.7135890722275,True,False,original_ten
X_morning90,21591567.378749497,106348.74131995853,13379435.870326009,621366.0262286668,14000801.896554677,6165300.607745351,4998460.39279378,2591886.41015122,1165880.4077385752,1426006.0024126444,334,48096,7268.4231640740745,2194.089252911632,,14004301.043047301,,689,97,7.689444838062627,0.05379391599853989,2.701308586116048e-16,0,0,21.140345541003626,680603.4426150095,0.002873662799790797,True,True,False,False,334.0,2332881.496295972,-1391604.3029446416,3724485.7992406166,2332516.343701722,1377405.454238532,-1115778.293819556,2493183.7480580905,1374481.5860289652,208707.94879885577,188228.69563386962,20479.25316498452,202773.50638065487,34826.89689498581,15699.550405416638,19127.346489569638,31837.73985379003,22036.70194386877,-17870.924642842263,39907.62658671406,22185.332367192954,20875.9158038646,-17802.509243862703,38678.425047729164,21024.54622718878,True,True,extension_eight
X_strong_morning85,21424792.554141,109264.54993955459,13349990.093968334,644292.1650026435,13994282.258970976,6144426.290149972,4981329.318886366,2431770.6378502855,1046885.0139261587,1384885.6239241268,334,48096,7268.4231640740745,2441.7299808642265,,13997610.637989521,,595,91,7.7827205719659105,0.05535541599965654,3.8735709319363955e-16,0,0,21.08725991701067,614122.1353526602,0.002952451233555457,True,False,True,False,334.0,2339401.1338796727,-1362158.5265869666,3701559.66046664,2339206.7487595025,1383925.091822233,-1086332.517461881,2470257.6092841136,1381171.9910867456,215227.5863825567,217674.4719915446,-2446.88560899219,209463.91143843532,41346.53447868675,45145.32676309161,-3798.792284407071,38528.144911570475,28556.33952756971,11574.851714832708,16981.487812737352,28875.7374249734,27395.55338756554,11643.267113812268,15752.286273752456,27714.951284969226,True,True,extension_eight
X_day60,21258179.209905367,130096.08422872437,13237237.061046256,778811.4830472104,14016048.544093465,6173163.445450415,5004606.414679725,2280528.768396735,934856.3427850022,1345672.425611733,334,48096,7268.4231640740745,2441.7299808642265,,14019376.92311201,,652,101,7.819652296879212,0.05690954200690612,3.90823537517768e-16,0,0,21.50575308399857,540322.2089238146,0.0035153427582351117,False,False,False,False,334.0,2317634.848757183,-1249405.4936648887,3567040.342422073,2317440.463637013,1362158.8066997435,-973579.4845398031,2335738.2912395466,1359405.705964256,193461.30126006715,330427.5049136225,-136966.2036535591,187697.62631594576,19580.249356197193,157898.35968516953,-138318.11032897397,16761.859789080918,6790.0544050801545,124327.88463691063,-117537.83023182955,7109.452302483842,5629.268265075982,124396.30003589019,-118767.03177081444,5948.666162479669,True,True,extension_eight
X_day50,21057607.879969943,164826.4671039658,13098016.031928,1012398.7711742962,14110414.803102294,6188670.367229516,5017167.0213207975,2111741.506198522,798359.6126274994,1313381.8935710227,334,48096,7268.4231640740745,2441.7299808642265,,14113743.18212084,,716,109,8.49878832581453,0.05824899999424815,3.954120707796334e-16,0,0,23.09224058399559,442216.7898790699,0.004453796829739412,False,False,False,False,334.0,2223268.5897483546,-1110184.464546632,3333453.054294987,2223074.2046281844,1267792.547690915,-834358.4554215465,2102151.003112461,1265039.4469554275,99095.0422512386,469648.53403187916,-370553.49178064486,93331.36730711721,-74786.00965263136,297119.3888034262,-371905.39845605975,-77604.39921974763,-87576.2046037484,263548.9137551673,-351125.1183589153,-87256.80670634471,-88736.99074375257,263617.32915414684,-352354.3198979002,-88417.59284634888,False,False,extension_eight
X_day60_morning85,21311031.55793606,122871.76931218556,13272415.099474432,734327.1651380957,14006742.264612528,6155587.660879089,4990370.02917695,2329496.200579442,962623.3984113848,1366872.802168057,334,48096,7268.4231640740745,2441.7299808642265,,14010070.643631073,,632,96,8.200734875994385,0.058271124988095835,3.89864679835498e-16,0,0,22.674341375008225,554255.4769314919,0.003320133630492146,False,False,False,False,334.0,2326941.128238121,-1284583.5320930649,3611524.660331188,2326746.743117951,1371465.0861806814,-1008757.5229679793,2380222.6091486616,1368711.985445194,202767.58074100502,295249.4664854463,-92481.88574444444,197003.90579688363,28886.52883713506,122720.32125699334,-93833.79241985932,26068.139270018786,16096.333886018023,89149.84620873444,-73053.5123227149,16415.73178342171,14935.54774601385,89218.261607714,-74282.7138616998,15254.945643417537,True,True,extension_eight
X_evening85_day60,21213683.74179842,165815.7333398172,13069078.307798313,999283.3104937512,14068361.618292063,6254829.724973075,5071085.983143387,2256566.2383418833,911527.5484121474,1345038.6899297358,334,48096,7268.4231640740745,2075.194369411556,,14071942.752021214,,935,122,8.270921251896652,0.06297075000475161,3.1674368445123386e-16,0,0,22.666017584007932,510520.91380300163,0.004480527917910003,False,False,False,False,334.0,2265321.774558585,-1081246.740416946,3346568.514975532,2264874.6347278096,1309845.7325011455,-805420.7312918603,2115266.463793006,1306839.8770550527,141148.2270614691,498586.2581615653,-357438.0311000999,135131.79740674235,-32732.82484240085,326057.1129331123,-358789.9377755148,-35803.96912012249,-45523.01979351789,292486.6378848534,-338009.65767837036,-45456.37660671957,-46683.80593352206,292555.05328383297,-339238.85921735526,-46617.16274672374,True,False,extension_eight
X_uniform70,21069115.69364903,216286.7169403705,12899736.341459736,1227152.5931255878,14126888.934585324,6393852.366277818,5184020.887871277,2136381.4372161925,866301.1930818709,1270080.2441343213,334,48096,7268.4231640740745,1712.3440682467542,,14130720.281718027,,1575,173,8.2466720079683,0.06796924999798648,3.303408153208465e-16,0,0,22.604023415988195,514078.3777128436,0.005844310753904342,False,False,False,False,334.0,2206794.458265325,-911904.7740783691,3118699.2323436956,2206097.1050309967,1251318.4162078854,-636078.7649532836,1887397.1811611694,1248062.3473582398,82620.91076820903,667928.224500142,-585307.3137319365,76354.2677099295,-91260.14113566093,495399.07927168906,-586659.2204073514,-94581.49881693535,-104050.33608677797,461828.60422343016,-565878.940310207,-104233.90630353242,-105211.12222678214,461897.0196224097,-567108.1418491919,-105394.6924435366,False,False,extension_eight
X_uniform75,21369950.861353602,162016.66887569655,13116707.401271854,922210.0878642158,14038917.48913607,6335250.533550118,5136450.264823541,2393977.766536056,1059653.379698068,1334324.3868379877,334,48096,7268.4231640740745,1826.9424441349065,,14042669.811807225,,1190,138,7.98523602593923,0.057556915999157354,2.7740299496556157e-16,0,0,22.331180958004552,630185.9892934286,0.004377872916176552,False,False,False,False,334.0,2294765.9037145786,-1128875.8338904865,3423641.7376050674,2294147.574941799,1339289.861657139,-853049.824765401,2192339.6864225413,1336112.8172690421,170592.35621746257,450957.16468802467,-280364.80847056455,164404.73762073182,-3288.6956864073873,278428.0194595717,-281716.7151459794,-6531.028906133026,-16078.890637524426,244857.5444113128,-260936.435048835,-16183.436392730102,-17239.6767775286,244925.95981029235,-262165.6365878199,-17344.222532734275,True,False,extension_eight
