policy,days,emergency_kwh,emergency_cost_yuan,emergency_premium_above_normal_yuan,contract_cost_yuan,total_cost_yuan,emergency_days,emergency_intervals,emergency_share_of_load,emergency_share_of_total_cost,weighted_emergency_price,surplus_kwh,unused_paid_grid_kwh
q2_selected,334,751884.1216948977,4345851.825469283,3476681.460375427,11987831.567381367,16333683.392850649,324,4446,0.020316756018460853,0.266066858340813,5.779948931057171,1427774.156447757,330363.1500750936
q2_seasonal,334,519849.5915405929,3114549.774286757,2491639.819429406,12263657.576506453,15378207.350793209,306,2747,0.01404692161049852,0.20253009360847957,5.991251748523409,1564771.1524384758,420651.70110225386
q2_no_storage,334,955491.7532256956,3834747.7979329303,3067798.238346344,16187983.199811457,20022730.997744385,334,21627,0.02581846360071843,0.19151971818254587,4.0133761332706435,3734366.7749173455,676206.8587173454
q3_no_update,334,574236.0456147372,3560483.3907926576,2848386.712634126,12281584.59764276,15842067.98843542,311,2735,0.015516504869741743,0.224748649822219,6.2003829574666485,1731331.774176896,558689.5467732634
q3_corrected,334,116794.75246035005,659859.5370419323,527887.6296335459,13066874.037925936,13726733.574967869,253,1450,0.0031559257889693043,0.04807112583908928,5.649736166579437,1378295.0681967358,298182.4746457593
q42,334,748055.240241199,4347698.026677684,3478158.421342147,12683183.670697108,17030881.69737479,323,4425,0.02021329532807807,0.2552832028272415,5.8120012972248345,1427301.3667434147,319697.0148664798
q43_corrected,334,118243.72611139406,679075.9381927691,543260.7505542153,13813203.608242448,14492279.546435216,252,1520,0.003195078689391087,0.046857772513766265,5.743018767465353,1378820.4504290903,294877.14195857884
