candidate,reference,date,saving_yuan
q3_soc,q3_no_update,2025-05-10,-223.92502222642906
q3_soc,q3_no_update,2025-05-11,418.6204154603256
q3_soc,q3_no_update,2025-05-12,586.3076478371368
q3_soc,q3_no_update,2025-05-13,690.6018065325989
q3_soc,q3_no_update,2025-05-14,-8.073008409213799
q3_soc,q3_no_update,2025-05-15,28.060114978579804
q3_soc,q3_no_update,2025-05-16,-42.9806836489206
q3_soc,q3_no_update,2025-05-17,-2.170719711575657
q3_soc,q3_no_update,2025-05-18,582.640933520961
q3_soc,q3_no_update,2025-05-19,401.03019609882904
q3_soc,q3_no_update,2025-05-20,-953.5725102746583
q3_soc,q3_no_update,2025-05-21,-770.0458391870852
q3_soc,q3_no_update,2025-05-22,294.90207110928895
q3_soc,q3_no_update,2025-05-23,-192.680172387556
q3_soc,q3_no_update,2025-05-24,0.21596464244794333
q3_soc,q3_no_update,2025-05-25,471.2353775349111
q3_soc,q3_no_update,2025-05-26,6073.9036705725375
q3_soc,q3_no_update,2025-05-27,-468.71166211423406
q3_soc,q3_no_update,2025-05-28,755.1915806206453
q3_soc,q3_no_update,2025-05-29,415.94284170475294
q3_soc,q3_no_update,2025-05-30,-1.5841776909273904
q3_soc,q3_no_update,2025-05-31,-1.7503821678310487
q3_soc,q3_no_update,2025-06-01,-627.6235209592996
q3_soc,q3_no_update,2025-06-02,-509.50350257079117
q3_soc,q3_no_update,2025-06-03,13.496827787901566
q3_soc,q3_no_update,2025-06-04,-351.69541529797425
q3_soc,q3_no_update,2025-06-05,6101.088072030485
q3_soc,q3_no_update,2025-06-06,2869.04328659975
q3_soc,q3_no_update,2025-06-07,117.20332534526824
q3_soc,q3_no_update,2025-06-08,668.5072264124465
q3_soc,q3_no_update,2025-06-09,733.5824445129983
q3_soc,q3_no_update,2025-06-10,23.529145342377888
q3_soc,q3_no_update,2025-06-11,-564.1717750957978
q3_soc,q3_no_update,2025-06-12,421.63037390608224
q3_soc,q3_no_update,2025-06-13,-88.48081286718298
q3_soc,q3_no_update,2025-06-14,3.9193531825076207
q3_soc,q3_no_update,2025-06-15,-1595.0286798453817
q3_soc,q3_no_update,2025-06-16,-116.3427435765334
q3_soc,q3_no_update,2025-06-17,-553.3040181159886
q3_soc,q3_no_update,2025-06-18,62.420310726018215
q3_soc,q3_no_update,2025-06-19,627.9333648137545
q3_soc,q3_no_update,2025-06-20,-150.83423365621275
q3_soc,q3_no_update,2025-06-21,-1.4920143567651394
q3_soc,q3_no_update,2025-06-22,313.42487525744946
q3_soc,q3_no_update,2025-06-23,586.7800770539106
q3_soc,q3_no_update,2025-06-24,62.17995339084155
q3_soc,q3_no_update,2025-06-25,465.6866783602163
q3_soc,q3_no_update,2025-06-26,439.1296022157403
q3_soc,q3_no_update,2025-06-27,-272.78090134059676
q3_soc,q3_no_update,2025-06-28,16.84117471619902
q3_soc,q3_no_update,2025-06-29,1810.4965927899611
q3_soc,q3_no_update,2025-06-30,496.5841566146264
q3_soc,q3_no_update,2025-07-01,32573.728769521607
q3_soc,q3_no_update,2025-07-02,23517.007500429412
q3_soc,q3_no_update,2025-07-03,13270.878713733204
q3_soc,q3_no_update,2025-07-04,1636.8879843663672
q3_soc,q3_no_update,2025-07-05,2533.869788426702
q3_soc,q3_no_update,2025-07-06,30028.671000882387
q3_soc,q3_no_update,2025-07-07,7801.296011720879
q3_soc,q3_no_update,2025-07-08,643.715724081645
q3_soc,q3_no_update,2025-07-09,611.0903718353293
q3_soc,q3_no_update,2025-07-10,70.906160738974
q3_soc,q3_no_update,2025-07-11,-15.72937922917481
q3_soc,q3_no_update,2025-07-12,-1.296034252805839
q3_soc,q3_no_update,2025-07-13,336.7379563173017
q3_soc,q3_no_update,2025-07-14,460.82136090804124
q3_soc,q3_no_update,2025-07-15,601.047063670645
q3_soc,q3_no_update,2025-07-16,463.2150158507211
q3_soc,q3_no_update,2025-07-17,291.2387225371276
q3_soc,q3_no_update,2025-07-18,-4.098245769553614
q3_soc,q3_no_update,2025-07-19,-19.29700481155305
q3_soc,q3_no_update,2025-07-20,43.658726836016285
q3_soc,q3_no_update,2025-07-21,381.45554008362524
q3_soc,q3_no_update,2025-07-22,119.94800052543724
q3_soc,q3_no_update,2025-07-23,700.8910159928128
q3_soc,q3_no_update,2025-07-24,643.6882463663642
q3_soc,q3_no_update,2025-07-25,659.3692668252443
q3_soc,q3_no_update,2025-07-26,15.847298257016519
q3_soc,q3_no_update,2025-07-27,300.007200949658
q3_soc,q3_no_update,2025-07-28,-17.622040762573306
q3_soc,q3_no_update,2025-07-29,52.829234411568905
q3_soc,q3_no_update,2025-07-30,1984.1699161788492
q3_soc,q3_no_update,2025-07-31,338.2439911487527
q3_soc,q3_no_update,2025-08-01,-99.12299590594921
q3_soc,q3_no_update,2025-08-02,36.944902028470096
q3_soc,q3_no_update,2025-08-03,-3.1347009014425566
q3_soc,q3_no_update,2025-08-04,342.99624477407633
q3_soc,q3_no_update,2025-08-05,-7.326000542205293
q3_soc,q3_no_update,2025-08-06,-7.3182511668419465
q3_soc,q3_no_update,2025-08-07,677.7812913598391
q3_soc,q3_no_update,2025-08-08,-1.7341472936604987
q3_soc,q3_no_update,2025-08-09,0.8461524590711633
q3_soc,q3_no_update,2025-08-10,30.381829948084487
q3_soc,q3_no_update,2025-08-11,310.5365049859174
q3_soc,q3_no_update,2025-08-12,251.25024824482534
q3_soc,q3_no_update,2025-08-13,3.3328154048067518
