policy,date,expected_emergency_yuan,actual_emergency_yuan,emergency_prediction_error_yuan,selected_proxy_score_yuan,actual_cost_yuan
S_tau,2025-02-01,7366.725146329037,0.0,-7366.725146329037,30839.17274109622,23610.27947212423
S_tau,2025-02-02,8637.462382281925,0.0,-8637.462382281925,66295.38524399289,57749.25353720164
S_tau,2025-02-03,1106.965444446692,0.0,-1106.965444446692,57460.34743810528,56444.91519151753
S_tau,2025-02-04,1226.9827250406875,0.0,-1226.9827250406875,58191.681858524455,57048.08456970002
S_tau,2025-02-05,1110.4753442340723,0.0,-1110.4753442340723,56815.4000286381,55788.06587150923
S_tau,2025-02-06,1181.254439827564,122.33375189898193,-1058.920687928582,57953.34605021055,56952.38238803405
S_tau,2025-02-07,501.4395075544049,0.0,-501.4395075544049,22893.527694449658,22389.863561298647
S_tau,2025-02-08,563.8484373281983,350.1148553575185,-213.73358197067984,20382.85272185849,20166.958500966335
S_tau,2025-02-09,1254.9278255302527,7531.34622895437,6276.418403424118,53478.080693668315,59749.49077445746
S_tau,2025-02-10,50.51518370072002,0.0,-50.51518370072002,54966.83080432931,54915.52625599934
S_tau,2025-02-11,1392.918687951687,570.292306103059,-822.626381848628,53424.74160006968,52597.54840261251
S_tau,2025-02-12,73.2643013016802,0.0,-73.2643013016802,53234.20545748826,53160.08263745204
S_tau,2025-02-13,111.10767824434446,0.0,-111.10767824434446,52831.05834605623,52719.04913881772
S_tau,2025-02-14,176.7248051376139,1091.600453840758,914.8756487031442,19105.389245004208,20019.42837745279
S_tau,2025-02-15,151.19703557177945,655.5880676828725,504.39103211109307,18784.2076353428,19319.84014152608
S_tau,2025-02-16,1338.232445642641,4584.010186978399,3245.777741335758,50690.209752628274,53990.490023317165
S_tau,2025-02-17,1266.5938816458397,745.1005489841889,-521.4933326616508,50084.43881074134,49608.683731608806
S_tau,2025-02-18,1236.7474362383941,225.83504514655954,-1010.9123910918346,49831.966078545534,48865.14634961731
S_tau,2025-02-19,1095.9030162291776,556.747520054611,-539.1554961745667,49468.239537586946,48960.74349925865
S_tau,2025-02-20,1230.5956426816042,501.29147005329173,-729.3041726283125,49146.499079170186,48469.69399525151
S_tau,2025-02-21,73.72782101255117,886.7976074090365,813.0697863964853,18196.74170514933,19099.45701339669
S_tau,2025-02-22,94.26645300040083,0.0,-94.26645300040083,18267.370146776902,18261.267525393963
S_tau,2025-02-23,1169.4572895678468,701.4179107442314,-468.0393788236154,48453.03023729318,48037.867878198784
S_tau,2025-02-24,993.7480141231157,730.5593306648999,-263.1886834582158,47558.64938222748,47335.78846515861
S_tau,2025-02-25,1004.7891338530935,417.1437589666664,-587.6453748864271,47821.21688256391,47266.903310353286
S_tau,2025-02-26,993.7905198332161,346.19697581424094,-647.5935440189751,47366.690392014294,46745.138094850234
S_tau,2025-02-27,853.1964894260876,2150.0492086653758,1296.852719239288,46483.88795166276,47774.99387815439
S_tau,2025-02-28,94.53681750609431,342.5884444615858,248.0516269554915,17885.839337028992,18130.877681592072
S_tau,2025-03-01,76.7751277627159,0.0,-76.7751277627159,17930.403214757564,17854.37353913408
S_tau,2025-03-02,981.6047778678397,28920.58865155821,27938.98387369037,45918.342969893965,73851.42455244169
S_tau,2025-03-03,1722.341683224904,18232.53696916123,16510.195285936323,47190.15686740161,63695.049110038424
S_tau,2025-03-04,2172.9037948178566,0.0,-2172.9037948178566,48727.76633560229,46553.136555901794
S_tau,2025-03-05,2054.24806850194,14.95268999999985,-2039.2953785019401,49334.8269152845,47291.37451621689
S_tau,2025-03-06,2098.2161367615718,0.0,-2098.2161367615718,49063.84933062022,46961.61648264378
S_tau,2025-03-07,88.47162320162046,0.0,-88.47162320162046,17743.63933059939,17654.928694233204
S_tau,2025-03-08,75.7137250152279,831.4217817534111,755.7080567381832,17352.061311046076,18107.58946935696
S_tau,2025-03-09,2091.6868264584114,0.0,-2091.6868264584114,47026.10111234806,44930.882506296024
S_tau,2025-03-10,2131.2764049988077,4154.690469056169,2023.414064057361,46093.602477192195,48113.461722372
S_tau,2025-03-11,2003.5572913300998,0.0,-2003.5572913300998,45772.212310005496,43765.19217957712
S_tau,2025-03-12,1893.597974558625,0.0,-1893.597974558625,45237.803192988984,43340.944892016974
S_tau,2025-03-13,1870.63606485576,11748.873704167432,9878.237639311672,44506.999792253555,54382.06832204324
S_tau,2025-03-14,75.08050556775679,1494.1902840136793,1419.1097784459225,16357.139693939665,17776.24947238559
S_tau,2025-03-15,131.58798920749993,312.7512569882342,181.1632677807343,16758.821882325254,16939.985150105986
S_tau,2025-03-16,2041.5982546268385,7.461179999999938,-2034.1370746268385,44602.32203761312,42597.615557044206
S_tau,2025-03-17,2173.271092061437,0.0,-2173.271092061437,44764.44584284413,42587.91389528041
