candidate,reference,month,saving_yuan
q43_raw_ols_reserve,q43_raw_ols_greedy,2025-07,7743.032506873136
q43_raw_ols_reserve,q43_raw_ols_greedy,2025-08,7351.024089687064
q43_raw_ols_reserve,q43_raw_ols_greedy,2025-09,-4546.224496990077
q43_raw_ols_reserve,q43_raw_ols_greedy,2025-10,2859.9361748775154
q43_raw_ols_reserve,q43_raw_ols_greedy,2025-11,865.1483463077147
q43_raw_ols_reserve,q43_raw_ols_greedy,2025-12,5800.383043050442
q43_w28_ols_reserve,q43_w28_ols_greedy,2025-02,-7940.288304375987
q43_w28_ols_reserve,q43_w28_ols_greedy,2025-03,-3815.313473376056
q43_w28_ols_reserve,q43_w28_ols_greedy,2025-04,-3135.870292464504
q43_w28_ols_reserve,q43_w28_ols_greedy,2025-05,-845.2259682237782
q43_w28_ols_reserve,q43_w28_ols_greedy,2025-06,-2486.040034384805
q43_w28_ols_reserve,q43_w28_ols_greedy,2025-07,2646.621273163986
q43_w28_ols_reserve,q43_w28_ols_greedy,2025-08,7425.224213996069
q43_w28_ols_reserve,q43_w28_ols_greedy,2025-09,-1661.199322946537
q43_w28_ols_reserve,q43_w28_ols_greedy,2025-10,3709.190074155642
q43_w28_ols_reserve,q43_w28_ols_greedy,2025-11,827.2870160481398
q43_w28_ols_reserve,q43_w28_ols_greedy,2025-12,9800.585384955015
q43_raw_fixed_reserve,q43_raw_fixed_greedy,2025-02,-6722.4016426602175
q43_raw_fixed_reserve,q43_raw_fixed_greedy,2025-03,-6362.090140478562
q43_raw_fixed_reserve,q43_raw_fixed_greedy,2025-04,-2090.016503135441
q43_raw_fixed_reserve,q43_raw_fixed_greedy,2025-05,1199.8306874742466
q43_raw_fixed_reserve,q43_raw_fixed_greedy,2025-06,595.8643208001449
q43_raw_fixed_reserve,q43_raw_fixed_greedy,2025-07,-3654.8683841672355
q43_raw_fixed_reserve,q43_raw_fixed_greedy,2025-08,2169.0737306025803
q43_raw_fixed_reserve,q43_raw_fixed_greedy,2025-09,-7545.400667025493
q43_raw_fixed_reserve,q43_raw_fixed_greedy,2025-10,3122.858960607482
q43_raw_fixed_reserve,q43_raw_fixed_greedy,2025-11,1944.8753288860062
q43_raw_fixed_reserve,q43_raw_fixed_greedy,2025-12,7038.6618394703655
q43_w28_fixed_reserve,q43_w28_fixed_greedy,2025-02,-6722.4016426602175
q43_w28_fixed_reserve,q43_w28_fixed_greedy,2025-03,-6362.090140478562
q43_w28_fixed_reserve,q43_w28_fixed_greedy,2025-04,-2238.920584180658
q43_w28_fixed_reserve,q43_w28_fixed_greedy,2025-05,-202.58328415994765
q43_w28_fixed_reserve,q43_w28_fixed_greedy,2025-06,309.4579010555535
q43_w28_fixed_reserve,q43_w28_fixed_greedy,2025-07,3577.560218524053
q43_w28_fixed_reserve,q43_w28_fixed_greedy,2025-08,1617.4786789493883
q43_w28_fixed_reserve,q43_w28_fixed_greedy,2025-09,-5467.978991302551
q43_w28_fixed_reserve,q43_w28_fixed_greedy,2025-10,4332.527963371014
q43_w28_fixed_reserve,q43_w28_fixed_greedy,2025-11,2537.4354413568817
q43_w28_fixed_reserve,q43_w28_fixed_greedy,2025-12,8858.572847641957
q3_soc_greedy,q3_no_update_greedy,2025-02,8459.623771870905
q3_soc_greedy,q3_no_update_greedy,2025-03,38027.07446073011
q3_soc_greedy,q3_no_update_greedy,2025-04,21558.837230533187
q3_soc_greedy,q3_no_update_greedy,2025-05,15182.284376121404
q3_soc_greedy,q3_no_update_greedy,2025-06,11875.008353171877
q3_soc_greedy,q3_no_update_greedy,2025-07,119721.68296349501
q3_soc_greedy,q3_no_update_greedy,2025-08,8870.899017317679
q3_soc_greedy,q3_no_update_greedy,2025-09,18960.071137900886
q3_soc_greedy,q3_no_update_greedy,2025-10,5747.97271851105
q3_soc_greedy,q3_no_update_greedy,2025-11,-300.2582957821105
q3_soc_greedy,q3_no_update_greedy,2025-12,40722.86148685809
q3_raw_greedy,q3_soc_greedy,2025-02,26404.200713382204
q3_raw_greedy,q3_soc_greedy,2025-03,34431.50008033341
q3_raw_greedy,q3_soc_greedy,2025-04,11366.986913094626
q3_raw_greedy,q3_soc_greedy,2025-05,239.13993894449231
q3_raw_greedy,q3_soc_greedy,2025-06,-10972.345867975007
q3_raw_greedy,q3_soc_greedy,2025-07,10640.220257415793
q3_raw_greedy,q3_soc_greedy,2025-08,13582.066354770406
q3_raw_greedy,q3_soc_greedy,2025-09,18125.64660301878
q3_raw_greedy,q3_soc_greedy,2025-10,30928.992895915784
q3_raw_greedy,q3_soc_greedy,2025-11,6734.228116805811
q3_raw_greedy,q3_soc_greedy,2025-12,3398.4352234432445
q3_w28_greedy,q3_raw_greedy,2025-02,0.0
q3_w28_greedy,q3_raw_greedy,2025-03,0.0
q3_w28_greedy,q3_raw_greedy,2025-04,-3823.7925119642605
q3_w28_greedy,q3_raw_greedy,2025-05,1864.8234312189143
q3_w28_greedy,q3_raw_greedy,2025-06,5995.712123424946
q3_w28_greedy,q3_raw_greedy,2025-07,-5701.535818809876
q3_w28_greedy,q3_raw_greedy,2025-08,4235.736520632963
q3_w28_greedy,q3_raw_greedy,2025-09,1330.8943001428597
q3_w28_greedy,q3_raw_greedy,2025-10,-2564.567697994582
q3_w28_greedy,q3_raw_greedy,2025-11,-7162.533789601337
q3_w28_greedy,q3_raw_greedy,2025-12,-3100.0996210922312
q42_ols_greedy,q42_fixed_greedy,2025-02,-176.90750477711663
q42_ols_greedy,q42_fixed_greedy,2025-03,3227.61967899288
q42_ols_greedy,q42_fixed_greedy,2025-04,720.8312544742694
q42_ols_greedy,q42_fixed_greedy,2025-05,-523.0054468831659
q42_ols_greedy,q42_fixed_greedy,2025-06,596.2178152054512
q42_ols_greedy,q42_fixed_greedy,2025-07,-17645.941704543668
q42_ols_greedy,q42_fixed_greedy,2025-08,1236.0277308849436
q42_ols_greedy,q42_fixed_greedy,2025-09,4270.325553460332
q42_ols_greedy,q42_fixed_greedy,2025-10,-6208.483737884413
q42_ols_greedy,q42_fixed_greedy,2025-11,7886.327989771107
q42_ols_greedy,q42_fixed_greedy,2025-12,-169.9167282734452
q43_raw_ols_greedy,q43_raw_fixed_greedy,2025-02,1007.022014472137
q43_raw_ols_greedy,q43_raw_fixed_greedy,2025-03,6123.390801468118
q43_raw_ols_greedy,q43_raw_fixed_greedy,2025-04,120.46978743461295
q43_raw_ols_greedy,q43_raw_fixed_greedy,2025-05,-2500.083222123503
q43_raw_ols_greedy,q43_raw_fixed_greedy,2025-06,3993.5390299597857
q43_raw_ols_greedy,q43_raw_fixed_greedy,2025-07,-3692.8069619765774
q43_raw_ols_greedy,q43_raw_fixed_greedy,2025-08,299.6581606622058
q43_raw_ols_greedy,q43_raw_fixed_greedy,2025-09,-3055.9032476642187
q43_raw_ols_greedy,q43_raw_fixed_greedy,2025-10,-2095.997596454774
q43_raw_ols_greedy,q43_raw_fixed_greedy,2025-11,7946.531787058659
q43_raw_ols_greedy,q43_raw_fixed_greedy,2025-12,3249.0202517321522
q43_w28_ols_greedy,q43_raw_ols_greedy,2025-02,0.0
q43_w28_ols_greedy,q43_raw_ols_greedy,2025-03,0.0
q43_w28_ols_greedy,q43_raw_ols_greedy,2025-04,-2947.0510402103864
q43_w28_ols_greedy,q43_raw_ols_greedy,2025-05,3161.9274909550077
q43_w28_ols_greedy,q43_raw_ols_greedy,2025-06,5275.058558019853
q43_w28_ols_greedy,q43_raw_ols_greedy,2025-07,-972.0589756250338
q43_w28_ols_greedy,q43_raw_ols_greedy,2025-08,3691.566939548218
q43_w28_ols_greedy,q43_raw_ols_greedy,2025-09,1151.2459211541773
q43_w28_ols_greedy,q43_raw_ols_greedy,2025-10,-955.7013730801991
q43_w28_ols_greedy,q43_raw_ols_greedy,2025-11,-5512.451218091013
q43_w28_ols_greedy,q43_raw_ols_greedy,2025-12,-5207.961886915604
q43_w28_fixed_greedy,q43_raw_fixed_greedy,2025-02,0.0
q43_w28_fixed_greedy,q43_raw_fixed_greedy,2025-03,0.0
q43_w28_fixed_greedy,q43_raw_fixed_greedy,2025-04,-3170.1427334729924
q43_w28_fixed_greedy,q43_raw_fixed_greedy,2025-05,1871.8923140036804
q43_w28_fixed_greedy,q43_raw_fixed_greedy,2025-06,5462.402128756112
q43_w28_fixed_greedy,q43_raw_fixed_greedy,2025-07,-6300.329857761244
q43_w28_fixed_greedy,q43_raw_fixed_greedy,2025-08,4428.52303013601
q43_w28_fixed_greedy,q43_raw_fixed_greedy,2025-09,1382.8963785473934
q43_w28_fixed_greedy,q43_raw_fixed_greedy,2025-10,-2219.926903151678
q43_w28_fixed_greedy,q43_raw_fixed_greedy,2025-11,-7467.775941814434
